,X,Y,date,sm_surface_mean
0,39.41,3.271,20240219,0.07001911103725433
1,39.445,3.261,20240219,0.08626209199428558
2,39.492,3.254,20240219,0.08626209199428558
3,39.541,3.251,20240219,0.1428602784872055
4,39.59,3.253,20240219,0.1428602784872055
5,39.638,3.26,20240219,0.13843928277492523
6,39.672,3.271,20240219,0.13843928277492523
7,39.11,3.323,20240219,0.07508169114589691
8,39.145,3.316,20240219,0.07508169114589691
9,39.192,3.311,20240219,0.07886861264705658
10,39.241,3.309,20240219,0.07886861264705658
11,39.292,3.309,20240219,0.1126166433095932
12,39.342,3.306,20240219,0.1126166433095932
13,39.392,3.303,20240219,0.07001911103725433
14,39.441,3.301,20240219,0.08626209199428558
15,39.491,3.301,20240219,0.08626209199428558
16,39.541,3.301,20240219,0.1428602784872055
17,39.591,3.301,20240219,0.1428602784872055
18,39.641,3.301,20240219,0.13843928277492523
19,39.686,3.305,20240219,0.13843928277492523
20,39.718,3.323,20240219,0.13819871842861176
21,38.757,3.373,20240219,0.1694406121969223
22,38.795,3.368,20240219,0.1694406121969223
23,38.843,3.361,20240219,0.15652023255825043
24,38.892,3.356,20240219,0.15652023255825043
25,38.941,3.356,20240219,0.15867315232753754
26,38.99,3.358,20240219,0.15982328355312347
27,39.041,3.361,20240219,0.15982328355312347
28,39.093,3.353,20240219,0.16352735459804535
29,39.141,3.351,20240219,0.16352735459804535
30,39.191,3.351,20240219,0.07249532639980316
31,39.241,3.351,20240219,0.07249532639980316
32,39.291,3.351,20240219,0.0750419944524765
33,39.341,3.351,20240219,0.0750419944524765
34,39.391,3.351,20240219,0.06901560723781586
35,39.441,3.351,20240219,0.08152256906032562
36,39.491,3.351,20240219,0.08152256906032562
37,39.541,3.351,20240219,0.08177052438259125
38,39.591,3.351,20240219,0.08177052438259125
39,39.641,3.351,20240219,0.13757310807704926
40,39.691,3.351,20240219,0.13757310807704926
41,39.725,3.356,20240219,0.07534180581569672
42,38.362,3.425,20240219,0.12111388146877289
43,38.397,3.424,20240219,0.12111388146877289
44,38.442,3.423,20240219,0.12111388146877289
45,38.477,3.424,20240219,0.14083443582057953
46,38.604,3.422,20240219,0.1441722959280014
47,38.644,3.415,20240219,0.130666121840477
48,38.693,3.408,20240219,0.1286233514547348
49,38.742,3.402,20240219,0.1694406121969223
50,38.791,3.401,20240219,0.1694406121969223
51,38.841,3.401,20240219,0.15652023255825043
52,38.891,3.401,20240219,0.15652023255825043
53,38.941,3.401,20240219,0.15867315232753754
54,38.991,3.401,20240219,0.15982328355312347
55,39.041,3.401,20240219,0.15982328355312347
56,39.091,3.401,20240219,0.16352735459804535
57,39.141,3.401,20240219,0.16352735459804535
58,39.191,3.401,20240219,0.07249532639980316
59,39.241,3.401,20240219,0.07249532639980316
60,39.291,3.401,20240219,0.0750419944524765
61,39.341,3.401,20240219,0.0750419944524765
62,39.391,3.401,20240219,0.06901560723781586
63,39.441,3.401,20240219,0.08152256906032562
64,39.491,3.401,20240219,0.08152256906032562
65,39.541,3.401,20240219,0.08177052438259125
66,39.591,3.401,20240219,0.08177052438259125
67,39.641,3.401,20240219,0.13757310807704926
68,39.691,3.401,20240219,0.13757310807704926
69,39.736,3.404,20240219,0.07534180581569672
70,39.77,3.422,20240219,0.07640920579433441
71,38.01,3.472,20240219,0.07770942151546478
72,38.045,3.462,20240219,0.07770942151546478
73,38.092,3.455,20240219,0.07483445107936859
74,38.141,3.453,20240219,0.07483445107936859
75,38.191,3.453,20240219,0.07194279134273529
76,38.241,3.452,20240219,0.07194279134273529
77,38.291,3.452,20240219,0.12382112443447113
78,38.341,3.451,20240219,0.12382112443447113
79,38.391,3.451,20240219,0.12111388146877289
80,38.441,3.451,20240219,0.12111388146877289
81,38.491,3.451,20240219,0.14083443582057953
82,38.542,3.455,20240219,0.1441722959280014
83,38.591,3.451,20240219,0.1441722959280014
84,38.641,3.451,20240219,0.130666121840477
85,38.691,3.451,20240219,0.130666121840477
86,38.741,3.451,20240219,0.15316449105739594
87,38.791,3.451,20240219,0.15316449105739594
88,38.841,3.451,20240219,0.1615189164876938
89,38.891,3.451,20240219,0.1615189164876938
90,38.941,3.451,20240219,0.16111932694911957
91,38.991,3.451,20240219,0.17997585237026215
92,39.041,3.451,20240219,0.17997585237026215
93,39.091,3.451,20240219,0.1038421243429184
94,39.141,3.451,20240219,0.1038421243429184
95,39.191,3.451,20240219,0.0773223489522934
96,39.241,3.451,20240219,0.0773223489522934
97,39.291,3.451,20240219,0.09423385560512543
98,39.341,3.451,20240219,0.09423385560512543
99,39.391,3.451,20240219,0.08735381066799164
100,39.441,3.451,20240219,0.07506690919399261
101,39.491,3.451,20240219,0.07506690919399261
102,39.541,3.451,20240219,0.14633117616176605
103,39.591,3.451,20240219,0.14633117616176605
104,39.641,3.451,20240219,0.1428149789571762
105,39.691,3.451,20240219,0.1428149789571762
106,39.741,3.451,20240219,0.07640920579433441
107,39.787,3.456,20240219,0.07640920579433441
108,39.821,3.471,20240219,0.13836894929409027
109,37.953,3.515,20240219,0.09108088910579681
110,37.993,3.504,20240219,0.09108088910579681
111,38.041,3.501,20240219,0.07770942151546478
112,38.091,3.501,20240219,0.07483445107936859
113,38.141,3.501,20240219,0.07483445107936859
114,38.191,3.501,20240219,0.07194279134273529
115,38.241,3.501,20240219,0.07194279134273529
116,38.291,3.501,20240219,0.12382112443447113
117,38.341,3.501,20240219,0.12382112443447113
118,38.391,3.501,20240219,0.12111388146877289
119,38.441,3.501,20240219,0.12111388146877289
120,38.491,3.501,20240219,0.14083443582057953
121,38.541,3.501,20240219,0.1441722959280014
122,38.591,3.501,20240219,0.1441722959280014
123,38.641,3.501,20240219,0.130666121840477
124,38.691,3.501,20240219,0.130666121840477
125,38.741,3.501,20240219,0.15316449105739594
126,38.791,3.501,20240219,0.15316449105739594
127,38.841,3.501,20240219,0.1615189164876938
128,38.891,3.501,20240219,0.1615189164876938
129,38.941,3.501,20240219,0.16111932694911957
130,38.991,3.501,20240219,0.17997585237026215
131,39.041,3.501,20240219,0.17997585237026215
132,39.091,3.501,20240219,0.1038421243429184
133,39.141,3.501,20240219,0.1038421243429184
134,39.191,3.501,20240219,0.0773223489522934
135,39.241,3.501,20240219,0.0773223489522934
136,39.291,3.501,20240219,0.09423385560512543
137,39.341,3.501,20240219,0.09423385560512543
138,39.391,3.501,20240219,0.08735381066799164
139,39.441,3.501,20240219,0.07506690919399261
140,39.491,3.501,20240219,0.07506690919399261
141,39.541,3.501,20240219,0.14633117616176605
142,39.591,3.501,20240219,0.14633117616176605
143,39.641,3.501,20240219,0.1428149789571762
144,39.691,3.501,20240219,0.1428149789571762
145,39.741,3.501,20240219,0.07640920579433441
146,39.791,3.501,20240219,0.07640920579433441
147,39.837,3.505,20240219,0.07424341142177582
148,39.872,3.52,20240219,0.07424341142177582
149,37.908,3.563,20240219,0.09286962449550629
150,37.942,3.551,20240219,0.09108088910579681
151,37.991,3.551,20240219,0.09108088910579681
152,38.041,3.551,20240219,0.16533075273036957
153,38.091,3.551,20240219,0.15768609941005707
154,38.141,3.551,20240219,0.15768609941005707
155,38.191,3.551,20240219,0.14418064057826996
156,38.241,3.551,20240219,0.14418064057826996
157,38.291,3.551,20240219,0.14091216027736664
158,38.341,3.551,20240219,0.14091216027736664
159,38.391,3.551,20240219,0.1316584199666977
160,38.441,3.551,20240219,0.1316584199666977
161,38.491,3.551,20240219,0.16334830224514008
162,38.541,3.551,20240219,0.1684349626302719
163,38.591,3.551,20240219,0.1684349626302719
164,38.641,3.551,20240219,0.1586228460073471
165,38.691,3.551,20240219,0.1586228460073471
166,38.741,3.551,20240219,0.159962996840477
167,38.791,3.551,20240219,0.159962996840477
168,38.841,3.551,20240219,0.14240561425685883
169,38.891,3.551,20240219,0.14240561425685883
170,38.941,3.551,20240219,0.08581040799617767
171,38.991,3.551,20240219,0.08398447930812836
172,39.041,3.551,20240219,0.08398447930812836
173,39.091,3.551,20240219,0.08398233354091644
174,39.141,3.551,20240219,0.08398233354091644
175,39.191,3.551,20240219,0.09129343926906586
176,39.241,3.551,20240219,0.09129343926906586
177,39.291,3.551,20240219,0.07377646863460541
