,X,Y,date,precipitation_sum
0,39.41,3.271,20240219,3.402071475982666
1,39.445,3.261,20240219,4.302511215209961
2,39.492,3.254,20240219,4.302511215209961
3,39.541,3.251,20240219,2.6806039810180664
4,39.59,3.253,20240219,2.6806039810180664
5,39.638,3.26,20240219,3.8034982681274414
6,39.672,3.271,20240219,3.8034982681274414
7,39.11,3.323,20240219,8.70674753189087
8,39.145,3.316,20240219,8.70674753189087
9,39.192,3.311,20240219,5.120622158050537
10,39.241,3.309,20240219,5.120622158050537
11,39.292,3.309,20240219,4.965325355529785
12,39.342,3.306,20240219,4.965325355529785
13,39.392,3.303,20240219,3.402071475982666
14,39.441,3.301,20240219,4.302511215209961
15,39.491,3.301,20240219,4.302511215209961
16,39.541,3.301,20240219,2.6806039810180664
17,39.591,3.301,20240219,2.6806039810180664
18,39.641,3.301,20240219,3.8034982681274414
19,39.686,3.305,20240219,3.8034982681274414
20,39.718,3.323,20240219,4.649386882781982
21,38.757,3.373,20240219,16.045839309692383
22,38.795,3.368,20240219,16.045839309692383
23,38.843,3.361,20240219,17.09561538696289
24,38.892,3.356,20240219,17.09561538696289
25,38.941,3.356,20240219,11.312299728393555
26,38.99,3.358,20240219,13.696528434753418
27,39.041,3.361,20240219,13.696528434753418
28,39.093,3.353,20240219,4.08937931060791
29,39.141,3.351,20240219,4.08937931060791
30,39.191,3.351,20240219,4.384269714355469
31,39.241,3.351,20240219,4.384269714355469
32,39.291,3.351,20240219,3.7415921688079834
33,39.341,3.351,20240219,3.7415921688079834
34,39.391,3.351,20240219,3.4557647705078125
35,39.441,3.351,20240219,2.940147638320923
36,39.491,3.351,20240219,2.940147638320923
37,39.541,3.351,20240219,3.172300100326538
38,39.591,3.351,20240219,3.172300100326538
39,39.641,3.351,20240219,3.7365641593933105
40,39.691,3.351,20240219,3.7365641593933105
41,39.725,3.356,20240219,3.9727933406829834
42,38.362,3.425,20240219,27.00406265258789
43,38.397,3.424,20240219,27.00406265258789
44,38.442,3.423,20240219,27.00406265258789
45,38.477,3.424,20240219,30.087078094482422
46,38.604,3.422,20240219,21.964252471923828
47,38.644,3.415,20240219,19.554279327392578
48,38.693,3.408,20240219,20.505754470825195
49,38.742,3.402,20240219,16.045839309692383
50,38.791,3.401,20240219,16.045839309692383
51,38.841,3.401,20240219,17.09561538696289
52,38.891,3.401,20240219,17.09561538696289
53,38.941,3.401,20240219,11.312299728393555
54,38.991,3.401,20240219,13.696528434753418
55,39.041,3.401,20240219,13.696528434753418
56,39.091,3.401,20240219,4.08937931060791
57,39.141,3.401,20240219,4.08937931060791
58,39.191,3.401,20240219,4.384269714355469
59,39.241,3.401,20240219,4.384269714355469
60,39.291,3.401,20240219,3.7415921688079834
61,39.341,3.401,20240219,3.7415921688079834
62,39.391,3.401,20240219,3.4557647705078125
63,39.441,3.401,20240219,2.940147638320923
64,39.491,3.401,20240219,2.940147638320923
