,NDVI,X,Y,date
0,6510,39.41,3.271,20240101
1,6510,39.445,3.261,20240101
2,6510,39.492,3.254,20240101
3,5970,39.541,3.251,20240101
4,6074,39.59,3.253,20240101
5,6074,39.638,3.26,20240101
6,6074,39.672,3.271,20240101
7,6127,39.11,3.323,20240101
8,6224,39.145,3.316,20240101
9,6224,39.192,3.311,20240101
10,6402,39.241,3.309,20240101
11,6402,39.292,3.309,20240101
12,6411,39.342,3.306,20240101
13,6411,39.392,3.303,20240101
14,5659,39.441,3.301,20240101
15,5659,39.491,3.301,20240101
16,6116,39.541,3.301,20240101
17,5949,39.591,3.301,20240101
18,5949,39.641,3.301,20240101
19,5545,39.686,3.305,20240101
20,5545,39.718,3.323,20240101
21,6259,38.757,3.373,20240101
22,6535,38.795,3.368,20240101
23,6535,38.843,3.361,20240101
24,6509,38.892,3.356,20240101
25,6509,38.941,3.356,20240101
26,6465,38.99,3.358,20240101
27,6465,39.041,3.361,20240101
28,6127,39.093,3.353,20240101
29,6127,39.141,3.351,20240101
30,6224,39.191,3.351,20240101
31,6402,39.241,3.351,20240101
32,6402,39.291,3.351,20240101
33,6411,39.341,3.351,20240101
34,6411,39.391,3.351,20240101
35,5659,39.441,3.351,20240101
36,5659,39.491,3.351,20240101
37,6116,39.541,3.351,20240101
38,6116,39.591,3.351,20240101
39,5949,39.641,3.351,20240101
40,5545,39.691,3.351,20240101
41,5545,39.725,3.356,20240101
42,5897,38.362,3.425,20240101
43,5897,38.397,3.424,20240101
44,4899,38.442,3.423,20240101
45,4899,38.477,3.424,20240101
46,6765,38.604,3.422,20240101
47,6765,38.644,3.415,20240101
48,6765,38.693,3.408,20240101
49,5858,38.742,3.402,20240101
50,6591,38.791,3.401,20240101
51,6591,38.841,3.401,20240101
52,6332,38.891,3.401,20240101
53,6332,38.941,3.401,20240101
54,6120,38.991,3.401,20240101
55,6120,39.041,3.401,20240101
56,5833,39.091,3.401,20240101
57,5833,39.141,3.401,20240101
58,5956,39.191,3.401,20240101
59,5871,39.241,3.401,20240101
60,5871,39.291,3.401,20240101
61,5995,39.341,3.401,20240101
62,5995,39.391,3.401,20240101
63,6577,39.441,3.401,20240101
64,6577,39.491,3.401,20240101
65,5960,39.541,3.401,20240101
66,5960,39.591,3.401,20240101
67,5738,39.641,3.401,20240101
68,5747,39.691,3.401,20240101
