date,X,Y,precipitation_sum
20240727,39.141,3.451,0.0
20240812,39.141,3.451,17.599998
20240727,39.191,3.451,0.0
20240812,39.191,3.451,21.1
20240727,39.241,3.451,0.0
20240812,39.241,3.451,20.6
20240727,39.291,3.451,0.0
20240812,39.291,3.451,22.6
20240727,39.341,3.451,0.0
20240812,39.341,3.451,21.1
20240727,39.391,3.451,0.0
20240812,39.391,3.451,23.7
20240727,39.441,3.451,0.0
20240812,39.441,3.451,14.099999
20240727,39.491,3.451,0.0
20240812,39.491,3.451,25.2
20240727,39.541,3.451,0.0
20240812,39.541,3.451,25.7
20240727,39.591,3.451,0.0
20240812,39.591,3.451,21.0
20240727,39.641,3.451,0.0
20240812,39.641,3.451,19.7
20240727,39.691,3.451,0.0
20240812,39.691,3.451,22.400002
20240727,39.741,3.451,0.0
20240812,39.741,3.451,20.9
20240727,39.787,3.456,0.0
20240812,39.787,3.456,21.3
20240727,39.821,3.471,0.0
20240812,39.821,3.471,21.8
20240727,37.953,3.515,0.0
20240812,37.953,3.515,22.1
20240727,37.993,3.504,0.0
20240812,37.993,3.504,17.7
20240727,38.041,3.501,0.0
20240812,38.041,3.501,16.9
20240727,38.091,3.501,0.0
20240812,38.091,3.501,18.3
20240727,38.141,3.501,0.0
20240812,38.141,3.501,20.6
20240727,38.191,3.501,0.0
20240812,38.191,3.501,23.0
20240727,38.241,3.501,0.0
20240812,38.241,3.501,20.699999
20240727,38.291,3.501,0.0
20240812,38.291,3.501,17.4
20240727,38.341,3.501,0.0
20240812,38.341,3.501,17.5
20240727,38.391,3.501,0.0
20240812,38.391,3.501,24.300001
20240727,38.441,3.501,0.0
20240812,38.441,3.501,25.3
20240727,38.491,3.501,0.0
20240812,38.491,3.501,21.1
20240727,38.541,3.501,0.0
20240812,38.541,3.501,28.800001
20240727,38.591,3.501,0.0
20240812,38.591,3.501,35.4
20240727,38.641,3.501,0.0
20240812,38.641,3.501,30.800001
20240727,38.691,3.501,9.1
20240812,38.691,3.501,23.6
20240727,38.741,3.501,0.0
20240812,38.741,3.501,20.3
20240727,38.791,3.501,0.0
20240812,38.791,3.501,10.0
20240727,38.841,3.501,5.1
20240812,38.841,3.501,10.3
20240727,38.891,3.501,5.1
20240812,38.891,3.501,10.400001
20240727,38.941,3.501,3.7
20240812,38.941,3.501,11.5
20240727,38.991,3.501,0.0
20240812,38.991,3.501,13.0
20240727,39.041,3.501,0.0
20240812,39.041,3.501,11.6
20240727,39.091,3.501,0.0
20240812,39.091,3.501,17.0
20240727,39.141,3.501,0.0
20240812,39.141,3.501,15.5
20240727,39.191,3.501,0.0
20240812,39.191,3.501,23.3
20240727,39.241,3.501,0.0
20240812,39.241,3.501,21.9
20240727,39.291,3.501,0.0
20240812,39.291,3.501,17.7
20240727,39.341,3.501,0.0
20240812,39.341,3.501,17.8
20240727,39.391,3.501,0.0
20240812,39.391,3.501,11.7
20240727,39.441,3.501,0.0
20240812,39.441,3.501,23.3
20240727,39.491,3.501,0.0
20240812,39.491,3.501,10.7
20240727,39.541,3.501,0.0
20240812,39.541,3.501,13.0
20240727,39.591,3.501,0.0
20240812,39.591,3.501,21.3
20240727,39.641,3.501,0.0
20240812,39.641,3.501,21.900002
20240727,39.691,3.501,0.0
20240812,39.691,3.501,23.8
20240727,39.741,3.501,0.0
20240812,39.741,3.501,22.5
20240727,39.791,3.501,0.0
20240812,39.791,3.501,24.0
20240727,39.837,3.505,0.0
20240812,39.837,3.505,21.8
20240727,39.872,3.52,0.0
20240812,39.872,3.52,20.1
20240727,37.908,3.563,0.0
20240812,37.908,3.563,20.500002
20240727,37.942,3.551,0.0
20240812,37.942,3.551,25.099998
20240727,37.991,3.551,0.0
20240812,37.991,3.551,22.2
20240727,38.041,3.551,0.0
20240812,38.041,3.551,21.099998
20240727,38.091,3.551,0.0
20240812,38.091,3.551,24.8
20240727,38.141,3.551,0.0
20240812,38.141,3.551,21.399998
20240727,38.191,3.551,0.0
20240812,38.191,3.551,19.4
20240727,38.241,3.551,0.0
20240812,38.241,3.551,24.5
20240727,38.291,3.551,0.0
20240812,38.291,3.551,26.300001
20240727,38.341,3.551,0.0
20240812,38.341,3.551,27.800001
20240727,38.391,3.551,0.0
20240812,38.391,3.551,29.999998
20240727,38.441,3.551,0.0
20240812,38.441,3.551,30.4
20240727,38.491,3.551,0.0
20240812,38.491,3.551,31.699999
20240727,38.541,3.551,0.0
20240812,38.541,3.551,32.1
20240727,38.591,3.551,0.0
20240812,38.591,3.551,36.6
20240727,38.641,3.551,0.0
20240812,38.641,3.551,38.6
20240727,38.691,3.551,0.0
20240812,38.691,3.551,35.1
20240727,38.741,3.551,0.0
20240812,38.741,3.551,35.7
20240727,38.791,3.551,0.0
20240812,38.791,3.551,9.1
20240727,38.841,3.551,0.0
20240812,38.841,3.551,10.5
20240727,38.891,3.551,0.0
20240812,38.891,3.551,10.400001
20240727,38.941,3.551,0.0
20240812,38.941,3.551,9.000001
20240727,38.991,3.551,3.7
20240812,38.991,3.551,9.0
20240727,39.041,3.551,3.7
20240812,39.041,3.551,11.8
20240727,39.091,3.551,0.0
20240812,39.091,3.551,15.7
20240727,39.141,3.551,0.0
20240812,39.141,3.551,13.5
20240727,39.191,3.551,0.0
20240812,39.191,3.551,12.900001
20240727,39.241,3.551,0.0
20240812,39.241,3.551,13.2
20240727,39.291,3.551,0.0
20240812,39.291,3.551,22.9
20240727,39.341,3.551,0.0
20240812,39.341,3.551,21.6
20240727,39.391,3.551,0.0
20240812,39.391,3.551,11.900001
20240727,39.441,3.551,0.0
20240812,39.441,3.551,12.599999
20240727,39.491,3.551,0.0
20240812,39.491,3.551,16.0
20240727,39.541,3.551,0.0
20240812,39.541,3.551,14.0
20240727,39.591,3.551,0.0
20240812,39.591,3.551,18.8
20240727,39.641,3.551,0.0
20240812,39.641,3.551,18.599998
20240727,39.691,3.551,0.0
20240812,39.691,3.551,20.2
20240727,39.741,3.551,0.0
20240812,39.741,3.551,24.0
20240727,39.791,3.551,0.0
20240812,39.791,3.551,21.4
20240727,39.841,3.551,0.0
20240812,39.841,3.551,19.9
20240727,39.888,3.554,0.0
20240812,39.888,3.554,9.400001
20240727,39.921,3.57,0.0
20240812,39.921,3.57,1.3
20240727,37.852,3.617,0.0
20240812,37.852,3.617,22.5
20240727,37.894,3.604,0.0
20240812,37.894,3.604,20.9
20240727,37.941,3.601,0.0
20240812,37.941,3.601,27.3
20240727,37.991,3.601,0.0
20240812,37.991,3.601,27.3
20240727,38.041,3.601,0.0
20240812,38.041,3.601,25.600002
20240727,38.091,3.601,0.0
20240812,38.091,3.601,23.5
20240727,38.141,3.601,0.0
20240812,38.141,3.601,24.300001
20240727,38.191,3.601,0.0
20240812,38.191,3.601,20.900002
20240727,38.241,3.601,0.0
20240812,38.241,3.601,23.6
20240727,38.291,3.601,0.0
20240812,38.291,3.601,26.8
20240727,38.341,3.601,0.0
20240812,38.341,3.601,21.0
20240727,38.391,3.601,0.0
20240812,38.391,3.601,30.199999
20240727,38.441,3.601,0.0
20240812,38.441,3.601,30.8
20240727,38.491,3.601,0.0
20240812,38.491,3.601,33.300003
20240727,38.541,3.601,0.0
20240812,38.541,3.601,25.3
20240727,38.591,3.601,0.0
20240812,38.591,3.601,36.100002
20240727,38.641,3.601,0.0
20240812,38.641,3.601,38.3
20240727,38.691,3.601,0.0
20240812,38.691,3.601,36.8
20240727,38.741,3.601,0.0
20240812,38.741,3.601,39.2
20240727,38.791,3.601,0.0
20240812,38.791,3.601,36.100002
20240727,38.841,3.601,0.0
20240812,38.841,3.601,24.699999
20240727,38.891,3.601,0.0
20240812,38.891,3.601,28.9
20240727,38.941,3.601,0.0
20240812,38.941,3.601,23.400002
20240727,38.991,3.601,3.7
20240812,38.991,3.601,8.599999
20240727,39.041,3.601,3.7
20240812,39.041,3.601,10.599999
20240727,39.091,3.601,0.0
20240812,39.091,3.601,14.2
20240727,39.141,3.601,0.0
20240812,39.141,3.601,16.1
20240727,39.191,3.601,0.0
20240812,39.191,3.601,14.6
20240727,39.241,3.601,0.0
20240812,39.241,3.601,14.2
20240727,39.291,3.601,0.0
20240812,39.291,3.601,22.9
20240727,39.341,3.601,0.0
20240812,39.341,3.601,21.7
20240727,39.391,3.601,0.0
20240812,39.391,3.601,12.900001
20240727,39.441,3.601,0.0
20240812,39.441,3.601,20.9
20240727,39.491,3.601,0.0
20240812,39.491,3.601,14.2
20240727,39.541,3.601,0.0
20240812,39.541,3.601,14.9
20240727,39.591,3.601,0.0
20240812,39.591,3.601,12.5
20240727,39.641,3.601,0.0
20240812,39.641,3.601,12.4
20240727,39.691,3.601,0.0
20240812,39.691,3.601,10.5
20240727,39.741,3.601,0.0
20240812,39.741,3.601,13.1
20240727,39.791,3.601,0.0
20240812,39.791,3.601,10.9
20240727,39.841,3.601,0.0
20240812,39.841,3.601,12.8
20240727,39.891,3.601,0.0
20240812,39.891,3.601,1.3
20240727,39.931,3.604,0.0
20240812,39.931,3.604,1.2
20240727,37.76,3.672,0.0
20240812,37.76,3.672,19.8
20240727,37.796,3.66,0.0
20240812,37.796,3.66,18.900002
20240727,37.841,3.651,0.0
20240812,37.841,3.651,18.1
20240727,37.891,3.651,0.0
20240812,37.891,3.651,23.2
20240727,37.941,3.651,0.0
20240812,37.941,3.651,27.400002
20240727,37.991,3.651,0.0
20240812,37.991,3.651,27.300001
20240727,38.041,3.651,0.0
20240812,38.041,3.651,26.1
20240727,38.091,3.651,0.0
20240812,38.091,3.651,23.9
20240727,38.141,3.651,0.0
20240812,38.141,3.651,21.9
20240727,38.191,3.651,0.0
20240812,38.191,3.651,22.0
20240727,38.241,3.651,0.0
20240812,38.241,3.651,21.300001
20240727,38.291,3.651,0.0
20240812,38.291,3.651,20.8
20240727,38.341,3.651,0.0
20240812,38.341,3.651,21.5
20240727,38.391,3.651,0.0
20240812,38.391,3.651,32.2
20240727,38.441,3.651,0.0
20240812,38.441,3.651,33.300003
20240727,38.491,3.651,0.0
20240812,38.491,3.651,33.3
20240727,38.541,3.651,0.0
20240812,38.541,3.651,25.2
20240727,38.591,3.651,0.0
20240812,38.591,3.651,36.5
20240727,38.641,3.651,0.0
20240812,38.641,3.651,32.4
20240727,38.691,3.651,0.0
20240812,38.691,3.651,37.4
20240727,38.741,3.651,0.0
20240812,38.741,3.651,36.1
20240727,38.791,3.651,0.0
20240812,38.791,3.651,26.6
20240727,38.841,3.651,0.0
20240812,38.841,3.651,24.8
20240727,38.891,3.651,0.0
20240812,38.891,3.651,24.599998
20240727,38.941,3.651,0.0
20240812,38.941,3.651,25.800001
20240727,38.991,3.651,5.0
20240812,38.991,3.651,26.1
20240727,39.041,3.651,3.7
20240812,39.041,3.651,26.2
20240727,39.091,3.651,0.0
20240812,39.091,3.651,26.400002
20240727,39.141,3.651,5.0
20240812,39.141,3.651,16.900002
20240727,39.191,3.651,0.0
20240812,39.191,3.651,16.199999
20240727,39.241,3.651,0.0
20240812,39.241,3.651,17.000002
20240727,39.291,3.651,0.0
20240812,39.291,3.651,12.7
20240727,39.341,3.651,0.0
20240812,39.341,3.651,12.0
20240727,39.391,3.651,0.0
20240812,39.391,3.651,11.1
20240727,39.441,3.651,0.0
20240812,39.441,3.651,10.2
20240727,39.491,3.651,0.0
20240812,39.491,3.651,11.4
20240727,39.541,3.651,0.0
20240812,39.541,3.651,12.900001
20240727,39.591,3.651,0.0
20240812,39.591,3.651,12.0
20240727,39.641,3.651,0.0
20240812,39.641,3.651,11.2
20240727,39.691,3.651,0.0
20240812,39.691,3.651,12.8
20240727,39.741,3.651,0.0
20240812,39.741,3.651,11.1
20240727,39.791,3.651,0.0
20240812,39.791,3.651,11.0
20240727,39.841,3.651,0.0
20240812,39.841,3.651,1.0
20240727,39.891,3.651,0.0
20240812,39.891,3.651,1.2
20240727,39.94,3.652,0.0
20240812,39.94,3.652,1.2
20240727,39.97,3.667,0.0
20240812,39.97,3.667,1.3
20240727,37.701,3.716,0.0
20240812,37.701,3.716,19.5
20240727,37.743,3.704,0.0
20240812,37.743,3.704,26.8
20240727,37.791,3.701,0.0
20240812,37.791,3.701,24.900002
20240727,37.841,3.701,0.0
20240812,37.841,3.701,18.9
20240727,37.891,3.701,0.0
20240812,37.891,3.701,22.099998
20240727,37.941,3.701,0.0
20240812,37.941,3.701,28.7
20240727,37.991,3.701,0.0
20240812,37.991,3.701,27.7
20240727,38.041,3.701,0.0
20240812,38.041,3.701,22.1
20240727,38.091,3.701,0.0
20240812,38.091,3.701,32.0
20240727,38.141,3.701,0.0
20240812,38.141,3.701,29.2
20240727,38.191,3.701,0.0
20240812,38.191,3.701,31.500002
20240727,38.241,3.701,0.0
20240812,38.241,3.701,33.1
20240727,38.291,3.701,0.0
20240812,38.291,3.701,32.3
20240727,38.341,3.701,0.0
20240812,38.341,3.701,26.4
20240727,38.391,3.701,0.0
20240812,38.391,3.701,30.099998
20240727,38.441,3.701,0.0
20240812,38.441,3.701,25.4
20240727,38.491,3.701,0.0
20240812,38.491,3.701,25.5
20240727,38.541,3.701,0.0
20240812,38.541,3.701,35.8
20240727,38.591,3.701,0.0
20240812,38.591,3.701,28.8
20240727,38.641,3.701,0.0
20240812,38.641,3.701,29.4
20240727,38.691,3.701,0.0
20240812,38.691,3.701,28.1
20240727,38.741,3.701,0.0
20240812,38.741,3.701,29.2
20240727,38.791,3.701,0.0
20240812,38.791,3.701,28.400002
20240727,38.841,3.701,0.0
20240812,38.841,3.701,23.900002
20240727,38.891,3.701,0.0
20240812,38.891,3.701,25.1
20240727,38.941,3.701,0.0
20240812,38.941,3.701,21.400002
20240727,38.991,3.701,0.0
20240812,38.991,3.701,10.8
20240727,39.041,3.701,0.0
20240812,39.041,3.701,25.2
20240727,39.091,3.701,0.0
20240812,39.091,3.701,22.7
20240727,39.141,3.701,0.0
20240812,39.141,3.701,16.500002
20240727,39.191,3.701,0.0
20240812,39.191,3.701,14.0
20240727,39.241,3.701,0.0
20240812,39.241,3.701,13.599999
20240727,39.291,3.701,0.0
20240812,39.291,3.701,13.900001
20240727,39.341,3.701,0.0
20240812,39.341,3.701,12.400001
20240727,39.391,3.701,10.0
20240812,39.391,3.701,13.400001
20240727,39.441,3.701,8.9
20240812,39.441,3.701,13.0
20240727,39.491,3.701,0.0
20240812,39.491,3.701,12.200001
20240727,39.541,3.701,0.0
20240812,39.541,3.701,13.1
20240727,39.591,3.701,0.0
20240812,39.591,3.701,16.400002
20240727,39.641,3.701,0.0
20240812,39.641,3.701,14.6
20240727,39.691,3.701,0.0
20240812,39.691,3.701,22.2
20240727,39.741,3.701,0.0
20240812,39.741,3.701,8.9
20240727,39.791,3.701,0.0
20240812,39.791,3.701,1.4
20240727,39.841,3.701,0.0
20240812,39.841,3.701,1.4
20240727,39.891,3.701,0.0
20240812,39.891,3.701,1.3
20240727,39.941,3.701,0.0
20240812,39.941,3.701,1.0
20240727,39.978,3.705,0.0
20240812,39.978,3.705,1.0
20240727,37.609,3.771,0.0
20240812,37.609,3.771,17.0
20240727,37.646,3.759,0.0
20240812,37.646,3.759,18.599998
20240727,37.691,3.751,0.0
20240812,37.691,3.751,21.400002
20240727,37.741,3.751,0.0
20240812,37.741,3.751,22.900002
20240727,37.791,3.751,0.0
20240812,37.791,3.751,25.8
20240727,37.841,3.751,0.0
20240812,37.841,3.751,25.5
20240727,37.891,3.751,0.0
20240812,37.891,3.751,20.5
20240727,37.941,3.751,0.0
20240812,37.941,3.751,23.3
20240727,37.991,3.751,0.0
20240812,37.991,3.751,24.6
20240727,38.041,3.751,0.0
20240812,38.041,3.751,27.7
20240727,38.091,3.751,0.0
20240812,38.091,3.751,37.3
20240727,38.141,3.751,0.0
20240812,38.141,3.751,34.7
20240727,38.191,3.751,0.0
20240812,38.191,3.751,28.9
20240727,38.241,3.751,0.0
20240812,38.241,3.751,32.7
20240727,38.291,3.751,0.0
20240812,38.291,3.751,29.6
20240727,38.341,3.751,0.0
20240812,38.341,3.751,29.800001
20240727,38.391,3.751,0.0
20240812,38.391,3.751,31.2
20240727,38.441,3.751,0.0
20240812,38.441,3.751,25.6
20240727,38.491,3.751,0.0
20240812,38.491,3.751,25.7
20240727,38.541,3.751,0.0
20240812,38.541,3.751,27.400002
20240727,38.591,3.751,0.0
20240812,38.591,3.751,27.5
20240727,38.641,3.751,0.0
20240812,38.641,3.751,26.9
20240727,38.691,3.751,0.0
20240812,38.691,3.751,25.6
20240727,38.741,3.751,0.0
20240812,38.741,3.751,28.2
20240727,38.791,3.751,0.0
20240812,38.791,3.751,26.5
20240727,38.841,3.751,0.0
20240812,38.841,3.751,25.0
20240727,38.891,3.751,0.0
20240812,38.891,3.751,26.599998
20240727,38.941,3.751,0.0
20240812,38.941,3.751,22.5
20240727,38.991,3.751,0.0
20240812,38.991,3.751,25.2
20240727,39.041,3.751,0.0
20240812,39.041,3.751,26.2
20240727,39.091,3.751,0.0
20240812,39.091,3.751,22.6
20240727,39.141,3.751,0.0
20240812,39.141,3.751,24.6
20240727,39.191,3.751,0.0
20240812,39.191,3.751,23.4
20240727,39.241,3.751,0.0
20240812,39.241,3.751,23.4
20240727,39.291,3.751,0.0
20240812,39.291,3.751,23.3
20240727,39.341,3.751,0.0
20240812,39.341,3.751,26.1
20240727,39.391,3.751,8.9
20240812,39.391,3.751,17.1
20240727,39.441,3.751,8.9
20240812,39.441,3.751,10.8
20240727,39.491,3.751,0.0
20240812,39.491,3.751,10.6
20240727,39.541,3.751,0.0
20240812,39.541,3.751,12.099999
20240727,39.591,3.751,0.0
20240812,39.591,3.751,13.3
20240727,39.641,3.751,0.0
20240812,39.641,3.751,26.8
20240727,39.691,3.751,0.0
20240812,39.691,3.751,24.1
20240727,39.741,3.751,0.0
20240812,39.741,3.751,18.599998
20240727,39.791,3.751,0.0
20240812,39.791,3.751,1.8
20240727,39.841,3.751,0.0
20240812,39.841,3.751,1.4
20240727,39.891,3.751,0.0
20240812,39.891,3.751,1.2
20240727,39.941,3.751,0.0
20240812,39.941,3.751,1.0
20240727,39.99,3.752,0.0
20240812,39.99,3.752,1.0
20240727,40.038,3.762,0.0
20240812,40.038,3.762,0.9
20240727,40.077,3.771,0.0
20240812,40.077,3.771,1.0
20240727,41.111,3.774,0.0
20240812,41.111,3.774,0.0
20240727,41.145,3.77,0.0
20240812,41.145,3.77,0.3
20240727,41.192,3.767,0.0
20240812,41.192,3.767,0.3
20240727,41.238,3.769,0.0
20240812,41.238,3.769,0.0
20240727,41.294,3.769,0.0
20240812,41.294,3.769,0.0
20240727,41.34,3.768,0.0
20240812,41.34,3.768,0.0
20240727,41.39,3.771,0.0
20240812,41.39,3.771,0.0
20240727,41.44,3.771,0.0
20240812,41.44,3.771,0.0
20240727,41.485,3.774,0.0
20240812,41.485,3.774,0.0
20240727,41.523,3.775,0.0
20240812,41.523,3.775,0.0
20240727,41.764,3.775,0.0
20240812,41.764,3.775,0.0
20240727,41.796,3.771,0.0
20240812,41.796,3.771,0.0
20240727,41.839,3.77,0.0
20240812,41.839,3.77,0.0
20240727,41.877,3.773,0.0
20240812,41.877,3.773,0.0
20240727,37.55,3.815,0.0
20240812,37.55,3.815,15.799999
20240727,37.593,3.803,0.0
20240812,37.593,3.803,15.6
20240727,37.641,3.801,0.0
20240812,37.641,3.801,17.7
20240727,37.691,3.801,0.0
20240812,37.691,3.801,22.7
20240727,37.741,3.801,0.0
20240812,37.741,3.801,23.3
20240727,37.791,3.801,0.0
20240812,37.791,3.801,20.0
20240727,37.841,3.801,0.0
20240812,37.841,3.801,27.2
20240727,37.891,3.801,0.0
20240812,37.891,3.801,27.0
20240727,37.941,3.801,0.0
20240812,37.941,3.801,22.8
20240727,37.991,3.801,0.0
20240812,37.991,3.801,25.2
20240727,38.041,3.801,0.0
20240812,38.041,3.801,26.6
20240727,38.091,3.801,0.0
20240812,38.091,3.801,37.3
20240727,38.141,3.801,0.0
20240812,38.141,3.801,25.599998
20240727,38.191,3.801,0.0
20240812,38.191,3.801,29.199999
20240727,38.241,3.801,0.0
20240812,38.241,3.801,32.9
20240727,38.291,3.801,0.0
20240812,38.291,3.801,31.099998
20240727,38.341,3.801,0.0
20240812,38.341,3.801,38.199997
20240727,38.391,3.801,0.0
20240812,38.391,3.801,31.5
20240727,38.441,3.801,0.0
20240812,38.441,3.801,29.6
20240727,38.491,3.801,0.0
20240812,38.491,3.801,29.0
20240727,38.541,3.801,0.0
20240812,38.541,3.801,25.2
20240727,38.591,3.801,0.0
20240812,38.591,3.801,25.2
20240727,38.641,3.801,0.0
20240812,38.641,3.801,27.0
20240727,38.691,3.801,0.0
20240812,38.691,3.801,22.800001
20240727,38.741,3.801,0.0
20240812,38.741,3.801,25.900002
20240727,38.791,3.801,0.0
20240812,38.791,3.801,25.2
20240727,38.841,3.801,0.0
20240812,38.841,3.801,26.9
20240727,38.891,3.801,0.0
20240812,38.891,3.801,30.1
20240727,38.941,3.801,0.0
20240812,38.941,3.801,22.900002
20240727,38.991,3.801,0.0
20240812,38.991,3.801,24.3
20240727,39.041,3.801,0.0
20240812,39.041,3.801,22.4
20240727,39.091,3.801,0.0
20240812,39.091,3.801,23.800001
20240727,39.141,3.801,0.0
20240812,39.141,3.801,24.2
20240727,39.191,3.801,0.0
20240812,39.191,3.801,24.3
20240727,39.241,3.801,0.0
20240812,39.241,3.801,22.0
20240727,39.291,3.801,0.0
20240812,39.291,3.801,24.900002
20240727,39.341,3.801,0.0
20240812,39.341,3.801,20.5
20240727,39.391,3.801,0.0
20240812,39.391,3.801,20.0
20240727,39.441,3.801,8.9
20240812,39.441,3.801,10.900001
20240727,39.491,3.801,9.9
20240812,39.491,3.801,10.400001
20240727,39.541,3.801,0.3
